('Thigpen ', 'Bay Springs', '31.95376472', '-89.23450472')
('Harriet Alexander ', 'Salida', '38.53916389', '-106.0458483')
('Pioneer Village ', 'Minden', '40.5149125', '-98.94565083')
('Brookneal/Campbell County', 'Brookneal', '37.14172222', '-79.01638889')
('Mission Sioux', 'Mission', '43.30694778', '-100.6281936')
('Kayenta', 'Kayenta', '36.70972139', '-110.2367978')
('Galt', 'Chicago/Greenwood/Wonderlake', '42.40266472', '-88.37588917')
('Winsted Municipal', 'Winsted', '44.94996278', '-94.0669175')
('Holmes County', 'Millersburg', '40.53716667', '-81.95436111')
('Wallkill', 'Wallkill', '41.62787111', '-74.13375583')
('Owyhee', 'Owyhee', '41.95323306', '-116.1876014')
('Clayton Municipal', 'Clayton', '31.88329917', '-85.48491361')
('Clarion Cty', 'Clarion', '41.22581222', '-79.44098972')
('Schaumburg Heliport', 'Chicago/Schaumburg', '42.04808278', '-88.05257194')
('Early County', 'Blakely', '31.39698611', '-84.89525694')
('Brenham Municipal', 'Brenham', '30.219', '-96.37427778')
('Rochelle Municipal', 'Rochelle', '41.89300139', '-89.07829')
('Tower Municipal', 'Tower', '47.81833333', '-92.29166667')
('Brewton Municipal', 'Brewton', '31.05126306', '-87.06796833')
('Superior Municipal', 'Superior', '40.04636111', '-98.06011111')
('Le Sueur Municipal', 'Le Sueur', '44.43746472', '-93.91274083')
('Lakeview', 'Lakeview', '43.45213722', '-85.26480333')
('Eureka Municipal', 'Eureka', '37.8515825', '-96.29169806')
('Trinca', 'Andover', '40.96676444', '-74.78016556')
('Carl Folsom', 'Elba', '31.40988861', '-86.08883583')
('Hollandale Municipal', 'Hollandale', '33.18262167', '-90.83065444')
('Todd Field ', 'Long Prairie', '45.89857556', '-94.87391')
('Haskell Municipal', 'Haskell', '33.19155556', '-99.71793056')
('Cook County', 'Adel', '31.13780556', '-83.45308333')
('Luka ', 'Luka', '34.7723125', '-88.16587444')
('McCarthy 2', 'McCarthy', '61.43706083', '-142.9037372')
('Nunapitchuk', 'Nunapitchuk', '60.90582833', '-162.4391158')
('Seneca County', 'Tiffin', '41.09405556', '-83.2125')
('Dawson Municipal', 'Dawson', '31.74328472', '-84.419285')
('Myrtle Creek Municipal', 'Myrtle Creek', '42.99845056', '-123.3095092')
('Port Bucyrus-Crawford County', 'Bucyrus', '40.78141667', '-82.97469444')
('Donalsonville Municipal', 'Donalsonville', '31.00694444', '-84.87761111')
('Boise City', 'Boise City', '36.77430028', '-102.5104364')
('Magee Municipal', 'Magee', '31.86127139', '-89.80285361')
('Cross Keys', 'Cross Keys', '39.70547583', '-75.03300306')
('Manokotak', 'Manokotak', '58.98896583', '-159.0499739')
('Franklin County', 'Canon', '34.34010472', '-83.13348333')
('McCreary County ', 'Pine Knot', '36.69591306', '-84.39160389')
('Jackson County', 'Jefferson', '34.17402472', '-83.56066528')
('C A Moore', 'Lexington', '33.12546111', '-90.02555694')
('Camden', 'Berlin', '39.77842056', '-74.94780389')
('Port Protection SPB', 'Port Protection', '56.32880417', '-133.6100844')
('Martin Campbell ', 'Copperhill', '35.01619111', '-84.34631083')
('Macon County', 'Franklin', '35.222595', '-83.41904389')
('Middlesboro-Bell County', 'Middlesboro', '36.6106375', '-83.73741611')
('Jackson County', 'Gainesboro', '36.39728139', '-85.64164278')
('Autauga County', 'Prattville', '32.438775', '-86.51044778')
('Dexter Regional', 'Dexter', '45.00839444', '-69.23976722')
('Columbia Cty', 'Hudson', '42.29130028', '-73.71031944')
('Fair Haven', 'Fair Haven', '43.61534389', '-73.27455556')
('Mansfield Municipal', 'Mansfield', '42.00013306', '-71.19677139')
('Clow', 'Chicago/Plainfield', '41.69597444', '-88.12923056')
('Milbank Municipal', 'Milbank', '45.23053806', '-96.56596556')
('Canton -Plymouth -  Mettetal', 'Plymouth', '42.35003667', '-83.45826833')
('Platte Municipal', 'Platte', '43.40332833', '-98.82952972')
('Hector Municipal', 'Hector', '44.73107278', '-94.71471333')
('Webster Municipal', 'Webster', '45.29329111', '-97.51369889')
('Redfield Municipal', 'Redfield', '44.86247611', '-98.52953972')
('Downtown Ardmore', 'Ardmore', '34.14698917', '-97.12265194')
('Lake Murray State Park', 'Overbrook', '34.07509694', '-97.10667917')
('Madill Municipal', 'Madill', '34.14040194', '-96.81203222')
('Bridgeport Municipal', 'Bridgeport', '33.17533333', '-97.82838889')
('Wood County', 'Bowling Green', '41.391', '-83.63013889')
('Kent State University', 'Kent', '41.15186167', '-81.41658306')
('Grand Canyon West', 'Peach Springs', '35.99221', '-113.8166164')
('Freedom ', 'Medina', '41.13144444', '-81.76491667')
('Michael ', 'Cicero', '43.18166667', '-76.12777778')
('Creve Coeur', 'St Louis', '38.72752', '-90.50830417')
('Effingham County Memorial', 'Effingham', '39.07045083', '-88.53351972')
('Linn State Tech. College', 'Linn', '38.47149444', '-91.81531667')
('Casey Municipal', 'Casey', '39.30250917', '-88.00406194')
('Freehold', 'Freehold', '42.36425', '-74.06596806')
('Delphi Municipal', 'Delphi', '40.54281417', '-86.68167194')
('Tri-County', 'Bonifay', '30.84577778', '-85.60138889')
('Lindsay Municipal', 'Lindsay', '34.85007333', '-97.58642028')
('David J. Perry', 'Goldsby', '35.1550675', '-97.47039389')
('Waynoka Municipal', 'Waynoka', '36.56670028', '-98.85231333')
('Satanta Municipal', 'Satanta', '37.45419111', '-100.9921119')
('St. John the Baptist Parish', 'Reserve', '30.08720833', '-90.58266528')
('Lincoln Co', 'Panaca', '37.78746444', '-114.4216567')
('Escalante Municipal', 'Escalante', '37.74532639', '-111.5701653')
('Parowan', 'Parowan', '37.85969694', '-112.816055')
('North Little Rock Municipal', 'No Lit Rock', '34.83398056', '-92.25792778')
('Belzoni Municipal', 'Belzoni', '33.14518056', '-90.51528472')
('Posey ', 'Haleyville', '34.28034806', '-87.60044139')
('Portland Municipal', 'Portland', '36.59287528', '-86.47691028')
('Fulton', 'Fulton', '36.52589417', '-88.91561611')
('Mountain Grove Memorial', 'Mountain Grove', '37.12071889', '-92.311245')
('Spadaro ', 'East Moriches', '40.82787639', '-72.74871083')
('Woodbine Muni ', 'Woodbine', '39.21915', '-74.794765')
('Blairstown', 'Blairstown', '40.97114556', '-74.99747556')
('Allentown Queen City Muni', 'Allentown', '40.57027778', '-75.48830556')
('Hamry ', 'Kindred', '46.6485775', '-97.00564306')
('Grandfield Municipal', 'Grandfield', '34.23758944', '-98.74200917')
('Lampson ', 'Lakeport', '38.99017472', '-122.8997175')
('Lodi', 'Lodi', '38.20241667', '-121.2684167')
('Thomas Municipal', 'Thomas', '35.73338222', '-98.73063833')
('Dunsmuir Municipal-Mott', 'Dunsmuir', '41.26320889', '-122.2719528')
('Jena', 'Jena', '31.671005', '-92.15846722')
('Brookhaven-Lincoln County', 'Brookhaven', '31.6058475', '-90.40931583')
('Bay Minette Municipal', 'Bay Minette', '30.87046278', '-87.81738167')
('Pierce County ', 'Puyallup', '47.10391667', '-122.2871944')
('Tillitt ', 'Forsyth', '46.27110639', '-106.6239206')
('Sunnyside Municipal', 'Sunnyside', '46.32763139', '-119.9705964')
('Priest River Muni', 'Priest River', '48.19018611', '-116.9093644')
('Bear Lake County', 'Paris', '42.24714972', '-111.33826')
('Navajo State Park ', 'Navajo Dam', '36.80833833', '-107.6514444')
('Grant County ', 'Hyannis', '42.00942944', '-101.7693439')
('Boulder Muni', 'Boulder', '40.03942972', '-105.2258217')
('Fremont County', 'Canon City', '38.42838111', '-105.1054994')
('Blake ', 'Delta', '38.78539722', '-108.0636611')
('Robbins ', 'Oneonta', '33.97231972', '-86.37942722')
('Macon Municipal', 'Macon', '33.13345889', '-88.53559806')
('Kingston-Ulster', 'Kingston', '41.9852525', '-73.96409722')
('Beach', 'Beach', '46.92362444', '-103.9785389')
('McElroy Airfield', 'Kremmling', '40.05367972', '-106.3689467')
('Lake Elmo', 'St Paul', '44.99748861', '-92.85568111')
('Jacksboro Municipal', 'Jacksboro', '33.228725', '-98.14671083')
('Mountain Meadow Airstrip', 'Burlington', '41.77287528', '-73.01121667')
('Vinton County', 'McArthur', '39.328125', '-82.44182167')
('Pontotoc County', 'Pontotoc', '34.27593833', '-89.03839694')
('Carbon Cty-Jake Arner Memorial', 'Lehighton', '40.80950889', '-75.76149639')
('Herlong', 'Jacksonville', '30.27778889', '-81.80594722')
('Clarke County', 'Quitman', '32.08487111', '-88.73893389')
('Bayport Aerodrome', 'Bayport', '40.75843139', '-73.05372083')
('Devine Municipal', 'Devine', '29.1384075', '-98.94189028')
('Jackson County', 'Sylva', '35.3168625', '-83.20936806')
('Suwannee County', 'Live Oak', '30.30105583', '-83.02318778')
('Jicarilla Apache Nation', 'Dulce', '36.828535', '-106.8841914')
('Cuthbert-Randolph', 'Cuthbert', '31.70016583', '-84.82492194')
('Ripley ', 'Ripley', '34.72226778', '-89.01504944')
('International', 'Edinburg', '26.44201083', '-98.12945306')
('Ashland/Lineville', 'Ashland/Lineville', '33.28761417', '-85.80412861')
('Ocean City Muni cipal', 'Ocean City', '39.26347222', '-74.60747222')
('Jackson County', 'Edna/Ganado', '29.00101', '-96.58194667')
('McDermitt State', 'McDermitt', '42.00211083', '-117.7231972')
('Elbert County-Patz ', 'Elberton', '34.09519722', '-82.81586417')
('Myers ', 'Canby', '44.72801889', '-96.26309972')
('Newberry Municipal', 'Newberry', '34.30927778', '-81.63972222')
('Georgetown-Scott County', 'Georgetown', '38.23442528', '-84.43468667')
('Kay Larkin', 'Palatka', '29.65863889', '-81.68855556')
('Grove City', 'Grove City', '41.14597611', '-80.16592194')
('Portage County', 'Ravenna', '41.210195', '-81.25163083')
('Gardiner', 'Gardiner', '45.04993556', '-110.7466008')
('Mark Anton', 'Dayton', '35.48624611', '-84.93109722')
('Jamestown Municipal', 'Jamestown', '36.34970833', '-84.94664472')
('Larsen Bay', 'Larsen Bay', '57.53510667', '-153.9784169')
('Kotlik', 'Kotlik', '63.03116111', '-163.5299278')
('Lime Village', 'Lime Village', '61.35848528', '-155.4403508')
('Parlin ', 'Newport', '43.38812944', '-72.18925417')
('Pittsfield Municipal', 'Pittsfield', '44.76852778', '-69.37441667')
('Post Mills', 'Post Mills', '43.884235', '-72.25370333')
('Barber', 'Alliance', '40.97089139', '-81.09981889')
('Oakes Municipal', 'Oakes', '46.17301972', '-98.07987556')
('Lamesa Municipal', 'Lamesa', '32.75627778', '-101.9194722')
('Skiatook Municipal', 'Skiatook', '36.357035', '-96.01138556')
('Commerce Municipal', 'Commerce', '33.29288889', '-95.89641806')
('Morehouse Memorial', 'Bastrop', '32.75607944', '-91.88057194')
('Jefferson County Airpark', 'Steubenville', '40.35944306', '-80.70007806')
('Connellsville', 'Connellsville', '39.95893667', '-79.65713306')
('Garrett County', 'Oakland', '39.58027778', '-79.33941667')
('Somerset County', 'Somerset', '40.03911111', '-79.01455556')
('Shelby County', 'Shelbyville', '39.41042861', '-88.8454325')
('Aurora Memorial Municipal', 'Aurora', '36.96230778', '-93.69531111')
('Madisonville Municipal', 'Madisonville', '37.35502778', '-87.39963889')
('Chanute', 'Rantoul', '40.29355556', '-88.14236111')
('Airglades', 'Clewiston', '26.74200972', '-81.04978917')
('Liberty County', 'Hinesville', '31.78461111', '-81.64116667')
('Louisville Municipal', 'Louisville', '32.98654083', '-82.38568139')
('Millen', 'Millen', '32.89376972', '-81.96511583')
('Quincy Municipal', 'Quincy', '30.59786111', '-84.55741667')
('Stanton County Municipal', 'Johnson', '37.58271111', '-101.73281')
('Scott ', 'Mangum', '34.89172583', '-99.52675667')
('Telida', 'Telida', '63.39387278', '-153.2689733')
('Princeton-Caldwell County', 'Princeton', '37.11560444', '-87.85556944')
('Lawrenceburg Municipal', 'Lawrenceburg', '35.2343025', '-87.25793222')
('Sallisaw Municipal', 'Sallisaw', '35.43816667', '-94.80277778')
('G. V. Montgomery', 'Forest', '32.35347778', '-89.48867944')
('Charles W. Baker', 'Millington', '35.27897583', '-89.93147611')
('Gansner ', 'Quincy', '39.94378056', '-120.9468983')
('Angwin-Parrett ', 'Angwin', '38.57851778', '-122.4352572')
('Chowchilla', 'Chowchilla', '37.11244417', '-120.2468406')
('Independence', 'Independence', '36.81382111', '-118.2050956')
('Hinton Municipal', 'Hinton', '35.50592472', '-98.34236111')
('Washington Island', 'Washington Island', '45.38620833', '-86.92448056')
('Yolo Co-Davis/Woodland/Winters', 'Davis/Woodland/Winters', '38.5790725', '-121.8566322')
('Waynesboro Municipal', 'Waynesboro', '31.64599472', '-88.63475667')
('Peter Prince ', 'Milton', '30.63762083', '-86.99365278')
('St Elmo', 'St Elmo', '30.50190833', '-88.27511667')
('Karnes County', 'Kenedy', '28.8250075', '-97.86558333')
('Vashon Municipal', 'Vashon', '47.45815333', '-122.4773506')
('Sportsman Airpark', 'Newberg', '45.29567333', '-122.9553783')
('Chiloquin State', 'Chiloquin', '42.58319167', '-121.8761261')
('Wilbur', 'Wilbur', '47.75320639', '-118.7438936')
('Muleshoe Municipal', 'Muleshoe', '34.18513639', '-102.6410981')
('Stevens ', 'Pagosa Springs', '37.277505', '-107.0558742')
('Vance Brand', 'Longmont', '40.16367139', '-105.1630369')
('Wray Municipal', 'Wray', '40.10032333', '-102.24096')
('Yuma Municipal', 'Yuma', '40.10415306', '-102.7129869')
('Maryland', 'Indian Head', '38.60053667', '-77.07296917')
('Captain Walter Francis Duke Regional ', 'Leonardtown', '38.31536111', '-76.55011111')
('Yakutat SPB', 'Yakutat', '59.5624775', '-139.7410994')
('Rockwell City Municipal', 'Rockwell City', '42.38748056', '-94.61803333')
('Gaines County', 'Seminole', '32.67535389', '-102.652685')
('Norfolk', 'Norfolk', '42.12787528', '-71.37033556')
('Stevensville', 'Stevensville', '46.52511111', '-114.0528056')
('Geneva Municipal', 'Geneva', '31.05527778', '-85.88033333')
('Water Valley ', 'Water Valley', '34.16677639', '-89.68619722')
('Delaware Airpark', 'Dover', '39.21837556', '-75.59642667')
('Pru ', 'Ritzville', '47.12487194', '-118.3927539')
('Laurens County', 'Laurens', '34.50705556', '-81.94719444')
('"Union County, Troy Shelton "', 'Union', '34.68680111', '-81.64121167')
('Padgham ', 'Allegan', '42.53098278', '-85.82513556')
('Wasco State', 'Wasco', '45.58944444', '-120.6741667')
('Lakin', 'Lakin', '37.96946389', '-101.2554472')
('Happy Camp', 'Happy Camp', '41.79067944', '-123.3889444')
('Heber City Municipal/Russ McDonald ', 'Heber', '40.48180556', '-111.4288056')
('Calico Rock-Izard County', 'Calico Rock', '36.16565278', '-92.14523611')
('Harnett County', 'Erwin', '35.37880028', '-78.73362917')
('Shaktoolik', 'Shaktoolik', '64.36263194', '-161.2025369')
('Deer Lodge-City-County', 'Deer Lodge', '46.38881583', '-112.7669842')
('Wayne Wonderland', 'Loa', '38.36247972', '-111.5960164')
('Princeton', 'Princeton', '40.39834833', '-74.65760361')
('Grove Hill Municipal', 'Grove Hill', '31.68932389', '-87.7613875')
('Folsom ', 'Cullman', '34.26870833', '-86.85833611')
('New Tazewell Municipal', 'Tazewell', '36.41008417', '-83.55546167')
('Anson County', 'Wadesboro', '35.02397611', '-80.08127333')
('Augusta Municipal', 'Augusta', '37.67162778', '-97.07787222')
('Southbridge Municipal', 'Southbridge', '42.10092806', '-72.03840833')
('Greenville Municipal', 'Greenville', '45.46302778', '-69.55161111')
('Marshfield', 'Marshfield', '42.09824111', '-70.67212083')
('Chester', 'Chester', '41.38390472', '-72.50589444')
('Jack Barstow', 'Midland', '43.66291528', '-84.261325')
('Lake In The Hills', 'Lake In The Hills', '42.20680306', '-88.32304028')
('James Clements Municipal', 'Bay City', '43.54691667', '-83.89550222')
('Cable Union', 'Cable', '46.19424889', '-91.24640972')
('Ephraim/Gibraltar', 'Ephraim', '45.13535778', '-87.18586556')
('Frankfort Dow Memorial', 'Frankfort', '44.62506389', '-86.20061944')
('De Soto Parish', 'Mansfield', '32.07345972', '-93.76551889')
('Vivian', 'Vivian', '32.86133333', '-94.01015361')
('Jones Memorial', 'Bristow', '35.80685278', '-96.42185556')
('Fremont Municipal', 'Fremont', '43.43890528', '-85.99478')
('Faulkton Municipal', 'Faulkton', '45.03191861', '-99.11566417')
('Wadsworth Municipal', 'Wadsworth', '41.00158222', '-81.75513111')
('Ashland County', 'Ashland', '40.90297222', '-82.25563889')
('Williamson/Sodus', 'Williamson', '43.23472222', '-77.12097222')
('Grand Haven Memorial Airpark', 'Grand Haven', '43.03404639', '-86.1981625')
('Mason County', 'Point Pleasant', '38.91463889', '-82.09858333')
('Phillipsburg', 'Phillipsburg', '39.91344194', '-84.40030889')
('Ridgeland', 'Ridgeland', '32.49268694', '-80.99233028')
('Greene County Airpark', 'Greensboro', '33.59766667', '-83.139')
('Freeman ', 'Junction City', '39.04327556', '-96.84328694')
('Syracuse-Hamilton County Municipal', 'Syracuse', '37.99167972', '-101.7462822')
('St Louis-Metro East', 'Troy/Marine/St. Louis', '38.73290861', '-89.80656722')
('Mark Hoard Memorial', 'Leoti', '38.45696333', '-101.3532161')
('Logan County', 'Lincoln', '40.15847222', '-89.33497222')
('Litchfield Municipal', 'Litchfield', '39.16635306', '-89.67489694')
('Lafayette Municipal', 'Lafayette', '36.518375', '-86.05828083')
('North Pickens ', 'Reform', '33.38900611', '-88.00557806')
('Warren Municipal', 'Warren', '33.56044333', '-92.08538861')
('Mt. Hawley Auxiliary', 'Peoria', '40.79525917', '-89.6134025')
('Old Bridge', 'Old Bridge', '40.32988667', '-74.34678694')
('Mahnomen County ', 'Mahnomen', '47.25996056', '-95.92809778')
('Northwood Municipal', 'Northwood', '47.72423333', '-97.59042222')
('Gustine', 'Gustine', '37.26271722', '-120.9632586')
('Municipal', 'Purcell', '34.97979444', '-97.38586167')
('Sayre Municipal', 'Sayre', '35.16755222', '-99.65787361')
('Walters Municipal', 'Walters', '34.37258444', '-98.40588583')
('Hollister Municipal', 'Hollister', '36.89334528', '-121.4102706')
('Grand Lake Regional', 'Afton', '36.5775775', '-94.86190028')
('Beeville Municipal', 'Beeville', '28.36455528', '-97.79208194')
('Bay City Municipal', 'Bay City', '28.973255', '-95.86345528')
('Le Gros Memorial', 'Crowley', '30.16173611', '-92.48396111')
('Hart', 'Many', '31.54489667', '-93.48645306')
('Jennings', 'Jennings', '30.24269333', '-92.67344778')
('Illinois Valley', 'Illinois Valley (Cave Junction)', '42.10372417', '-123.6822911')
('Grants Pass', 'Grants Pass', '42.51011722', '-123.3879894')
('Condon State-Pauling ', 'Condon', '45.24651889', '-120.1664233')
('Harry W Browne', 'Saginaw - H.Browne', '43.43341028', '-83.86245833')
('St Charles', 'St Charles', '38.84866139', '-90.50011833')
('Boyceville Municipal ', 'Boyceville', '45.042185', '-92.0293475')
('Fayette Regional Air Center', 'La Grange', '29.90930556', '-96.9505')
('Jerry Tyler Memorial', 'Niles', '41.83590806', '-86.22517611')
('Bowman ', 'Anaconda', '46.15313278', '-112.86784')
('Benchmark', 'Benchmark', '47.48133194', '-112.8697678')
('Big Sandy', 'Big Sandy', '48.16247972', '-110.1132631')
('Fort Morgan Municipal', 'Fort Morgan', '40.33423194', '-103.8039508')
('Shawano Municipal', 'Shawano', '44.78777778', '-88.56152444')
('George L Scott Municipal', 'West Union', '42.98508917', '-91.79060417')
('Winterset Madison County', 'Winterset', '41.36276778', '-94.02106194')
('Haines SPB', 'Haines', '59.23495111', '-135.4407181')
('Perry-Foley', 'Perry', '30.06927778', '-83.58058333')
('Chester Cty-G O Carlson', 'Coatesville', '39.97897222', '-75.86547222')
('Manila', 'Manila', '40.98607', '-109.6784811')
('Manti-Ephraim', 'Manti', '39.32912833', '-111.6146397')
('Melbourne Municipal', 'Melbourne', '36.07079222', '-91.82914667')
('White Cloud', 'White Cloud', '43.55974139', '-85.77421944')
('Keystone Airpark', 'Keystone Heights', '29.84475', '-82.04752778')
('Poplar', 'Poplar', '48.11595861', '-105.1821928')
('Montgomery County', 'Star', '35.38819528', '-79.79281667')
('Dover/Foxcroft', 'Dover-Foxcroft', '45.18338806', '-69.2328225')
('Sky Acres', 'Millbrook', '41.70742861', '-73.73802889')
('Rockingham-Hamlet', 'Rockingham', '34.89107083', '-79.75905806')
('North Bass Island', 'North Bass Island', '41.71932528', '-82.82196917')
('Kountz - Hawthorne ', 'Kountze/Silsbee', '30.33633806', '-94.25754361')
('Blairsville', 'Blairsville', '34.85508722', '-83.996855')
('Carrington Municipal', 'Carrington', '47.45111111', '-99.15111111')
('Sky Park', 'Red Hook', '41.98458333', '-73.83596556')
('Cherokee County', 'Canton', '34.31058333', '-84.42391667')
('Cheraw Municipal', 'Cheraw', '34.71258333', '-79.95794444')
('Central Jersey Regional', 'Manville', '40.52438417', '-74.59839194')
('Curtis Municipal', 'Curtis', '40.63750778', '-100.4712539')
('Cochran', 'Cochran', '32.39936111', '-83.27591667')
('Clare Municipal', 'Clare', '43.83111111', '-84.74133333')
('Braxton County', 'Sutton', '38.68704444', '-80.65176083')
('Ness City Municipal', 'Ness City', '38.47110278', '-99.90806667')
('Harlem', 'Harlem', '48.56666472', '-108.7729339')
('Tri-County', 'Erie', '40.010225', '-105.047975')
('Gilmer County', 'Ellijay', '34.62786417', '-84.52492889')
('Downtown Heliport', 'Dallas', '32.77333333', '-96.80027778')
('Chemehuevi Valley', 'Chemehuevi Valley', '34.52751083', '-114.4310697')
('Fillmore County', 'Preston', '43.67676', '-92.17973444')
('Atmautluak', 'Atmautluak', '60.86674556', '-162.2731389')
('Cornelius-Moore ', 'Cedartown', '34.01869444', '-85.14647222')
('Marshall-Searcy County', 'Marshall', '35.89893667', '-92.65588611')
('Scottsboro Municipal', 'Scottsboro', '34.68897278', '-86.0058125')
('Clayton County', 'Hampton', '33.38911111', '-84.33236111')
('Isbell ', 'Fort Payne', '34.4728925', '-85.72221722')
('South Albany', 'South Bethlehem', '42.56072611', '-73.83395639')
('Duanesburg', 'Duanesburg', '42.75840889', '-74.13290472')
('Ticonderoga Muni', 'Ticonderoga', '43.87700278', '-73.41317639')
('Schroon Lake', 'Schroon Lake', '43.86256083', '-73.74262972')
('Robertson ', 'Plainville', '41.69037667', '-72.8648225')
