('Tishomingo County', 'Belmont', '34.49166667', '-88.20111111')
('Blackwell-Tonkawa Municipal', 'Blackwell-Tonkawa', '36.74511583', '-97.34959972')
('McCurtain County Regional', 'Idabel', '33.909325', '-94.85835278')
('Cherokee Municipal', 'Cherokee', '36.78336306', '-98.35035083')
('Mid-Way', 'Midlothian-Waxahachie', '32.45609722', '-96.91240972')
('Berkeley County', 'Moncks Corner', '33.18605556', '-80.03563889')
('Madison Municipal', 'Madison', '33.61212528', '-83.46044333')
('Lee County', 'Bishopville', '34.24459889', '-80.23729333')
('Okolona Mun.-Richard M. Stovall ', 'Okolona', '34.01580528', '-88.72618944')
('Winona-Montgomery County', 'Winona', '33.46540139', '-89.72924806')
('Roosevelt Memorial', 'Warm Springs', '32.93346222', '-84.68881639')
('Homer Municipal', 'Homer', '32.78850806', '-93.00366083')
('Rountree ', 'Hartselle', '34.40823444', '-86.93295056')
('De Witt Municipal', 'De Witt', '34.2626', '-91.30984194')
('Fordyce Municipal', 'Fordyce', '33.84593722', '-92.36542861')
('Hillsboro Municipal', 'Hillsboro', '32.08348611', '-97.09722722')
('Seymour Municipal', 'Seymour', '33.64870417', '-99.26063056')
('Wrens Memorial', 'Wrens', '33.222645', '-82.38373611')
('Butler Municipal', 'Butler', '32.56736694', '-84.25074833')
('Griffin-Spaulding County ', 'Griffin', '33.22697222', '-84.27494444')
('Andrews-Murphy', 'Andrews', '35.19453167', '-83.86490194')
('Johnson County', 'Mountain City', '36.41789833', '-81.82511528')
('Talihina Municipal', 'Talihina', '34.70777139', '-95.07378583')
('Corporate', 'Pelion', '33.79463889', '-81.24586111')
('St George', 'St George', '33.1955', '-80.50847222')
('Saluda County', 'Saluda', '33.92680111', '-81.79455306')
('Fairview Municipal', 'Fairview', '36.29014667', '-98.47582833')
('Horseshoe Bend', 'Horseshoe Bend', '36.21673389', '-91.75014556')
('Lee County-Marianna', 'Marianna', '34.78027778', '-90.81055556')
('Marked Tree Municipal', 'Marked Tree', '35.53341472', '-90.40149028')
('Beaufort County', 'Beaufort', '32.4121375', '-80.63455083')
('Greensboro Municipal', 'Greensboro', '32.68147222', '-87.66208333')
('Demopolis Municipal', 'Demopolis', '32.46381944', '-87.95406389')
('Lanett Municipal', 'Lanett', '32.81204611', '-85.22958111')
('Roanoke Municipal', 'Roanoke', '33.12928722', '-85.366615')
('Avery County/Morrison ', 'Spruce Pine', '35.94457028', '-81.99566944')
('Caddo Mills Municipal', 'Caddo Mills', '33.03622222', '-96.24313889')
('Clarksville-Red River County', 'Clarksville', '33.59316472', '-95.06355528')
('McGehee Municipal', 'McGehee', '33.62022111', '-91.36484056')
('Bearce', 'Mount Ida', '34.52926056', '-93.52713472')
('Osceola Municipal', 'Osceola', '35.69114639', '-90.01012028')
('Ozark-Franklin County', 'Ozark', '35.51069583', '-93.8393075')
('Piggott Municipal', 'Piggott', '36.37820556', '-90.16624167')
('Antlers Municipal', 'Antlers', '34.19260083', '-95.64985889')
('Carnegie Municipal', 'Carnegie', '35.12061417', '-98.5806175')
('Yazoo County', 'Yazoo City', '32.883215', '-90.4636475')
('Allendale County', 'Allendale', '32.99512944', '-81.27024583')
('Albertville Municipal ', 'Albertville', '34.22910972', '-86.25575806')
('Guntersville Municipal', 'Guntersville', '34.39944167', '-86.27016111')
('Livingston Municipal', 'Livingston', '36.41217389', '-85.31154861')
('Decatur Municipal', 'Decatur', '33.25463889', '-97.58055556')
('Booneville-Baldwyn', 'Booneville', '34.58981806', '-88.64699861')
('Arrowhead', 'Canadian', '35.15426444', '-95.62026389')
('Mignon Laird Municipal', 'Cheyenne', '35.60393694', '-99.70343889')
('Cassville Municipal', 'Cassville', '36.69741667', '-93.90052778')
('Cleveland Municipal', 'Cleveland', '36.28340306', '-96.46418833')
('Bamburg County', 'Bamburg', '33.30515528', '-81.10898917')
('Covington Municipal', 'Covington', '33.6324825', '-83.84955806')
('Lawrence County ', 'Courtland', '34.65938889', '-87.34883333')
('Barwick-LaFayette ', 'LaFayette', '34.68896917', '-85.29023333')
('Chester Municipal', 'Chester', '34.78933333', '-81.19577778')
('Ackerman-Choctaw County', 'Ackerman', '33.3034575', '-89.22840028')
('Kelly', 'Oak Grove', '32.84921361', '-91.40390611')
('Sheridan-Grant County Regional', 'Sheridan', '34.32842917', '-92.35098583')
('Centre Municipal', 'Centre', '34.15987361', '-85.63512944')
('Abilene Regional', 'Abilene', '32.41132', '-99.68189722')
('Souther ', 'Americus', '32.11079917', '-84.18884806')
('Ada Municipal', 'Ada', '34.80434056', '-96.6712775')
('Ardmore Municipal', 'Ardmore', '34.30320667', '-97.01952167')
('Addison', 'Dallas/Addison', '32.96855944', '-96.83644778')
('Fort Worth Alliance', 'Fort Worth', '32.98763889', '-97.31880556')
('Magnolia Municipal', 'Magnolia', '33.22802111', '-93.21696861')
('Bush ', 'Augusta', '33.369955', '-81.96449611')
('Athens Municipal', 'Athens', '33.94859528', '-83.32634694')
('Aiken Municipal', 'Aiken', '33.64955556', '-81.68447222')
('George Downer ', 'Aliceville', '33.10706889', '-88.19725167')
('Habersham County', 'Cornelia', '34.50081944', '-83.55487')
('Gastonia Municipal', 'Gastonia', '35.20265944', '-81.1498675')
('Vaiden ', 'Marion', '32.51235611', '-87.38555472')
('Thomas C Russell ', 'Alexander City', '32.91475167', '-85.96295611')
('Anniston Metropolitan', 'Anniston', '33.58816667', '-85.85811111')
('Anderson County', 'Anderson', '34.49494444', '-82.70902778')
('Marion County-Brown ', 'Jasper', '35.06067778', '-85.58531667')
('Walnut Ridge Regional', 'Walnut Ridge', '36.12534667', '-90.92461944')
('Springdale Municipal', 'Springdale', '36.17641056', '-94.11925833')
('Marshall - Harrison County', 'Marshall', '32.5205', '-94.30777778')
('Talladega Municipal', 'Talladega', '33.56991111', '-86.05085833')
('Hall-Miller Municipal', 'Atlanta', '33.101805', '-94.19532694')
('William B Hartsfield-Atlanta Intl', 'Atlanta', '33.64044444', '-84.42694444')
('Auburn-Opelik', 'Auburn', '32.61635417', '-85.43355944')
('Alva Regional', 'Alva', '36.77317', '-98.66994611')
('Asheville Regional', 'Asheville', '35.43619444', '-82.54180556')
('West Memphis Municipal', 'West Memphis', '35.13505861', '-90.23444639')
('Altus Municipal', 'Altus', '34.69878194', '-99.3381')
('Morrilton Municipal', 'Morrilton', '35.13619528', '-92.71349722')
('Buffalo Municipal', 'Buffalo', '36.86330139', '-99.61873056')
('Winchester Municipal', 'Winchester', '35.17753417', '-86.06616722')
('Birmingham International', 'Birmingham', '33.56294306', '-86.75354972')
('Breckenridge Stephens County', 'Breckenridge', '32.71904694', '-98.89099972')
('Nashville International', 'Nashville', '36.12447667', '-86.67818222')
('Barnwell County', 'Barnwell', '33.25777778', '-81.38833333')
('Baxter County Regional', 'Mountain Home', '36.36894194', '-92.47052806')
('Bartlesville Municipal', 'Bartlesville', '36.76247611', '-96.01115167')
('Batesville Regional', 'Batesville', '35.726105', '-91.64736083')
('Bowling Green-Warren County ', 'Bowling Green', '36.96451667', '-86.41967917')
('Burke County', 'Waynesboro', '33.04093056', '-82.00397917')
('Columbia Metropolitan', 'Columbia', '33.93884', '-81.11953944')
('Newnan-Coweta County', 'Newnan', '33.31208333', '-84.77027778')
('Harrell ', 'Camden', '33.62279917', '-92.76339528')
('Woodward ', 'Camden', '34.28358333', '-80.56486111')
('Oconee County Regional', 'Clemson', '34.67205556', '-82.88644444')
('Kyle-Oakley ', 'Murray', '36.66458333', '-88.37277722')
('Lovell ', 'Chattanooga', '35.03526833', '-85.20378778')
('Chickasha Municipal', 'Chickasha', '35.09614694', '-97.96618361')
('Charleston AFB/International', 'Charleston', '32.89864639', '-80.04050583')
('Fletcher ', 'Clarksdale', '34.29971', '-90.51231611')
('Outlaw ', 'Clarksville', '36.62188083', '-87.41495361')
('Clinton Municipal', 'Clinton', '35.53832778', '-98.932695')
('Charlotte/Douglas International', 'Charlotte', '35.21401111', '-80.94312583')
('Chandler Municipal', 'Chandler', '35.72381556', '-96.82027306')
('C Davis Campbell -Corsicana Muni', 'Corsicana', '32.02748861', '-96.39803611')
('Crossett Municipal', 'Crossett', '33.17833278', '-91.88018806')
('Roscoe Turner ', 'Corinth', '34.91496778', '-88.60348361')
('Columbus Metropolitan', 'Columbus', '32.51633333', '-84.93886111')
('Clinton-Sherman', 'Clinton', '35.33983917', '-99.20049944')
('Crossville Memorial', 'Crossville', '35.95129194', '-85.08497806')
('West Georgia Regional', 'Carrollton', '33.63102778', '-85.15202778')
('Columbia Owens Downtown', 'Columbia', '33.97047222', '-80.99525')
('Cushing Municipal', 'Cushing', '35.949925', '-96.77305278')
('Sharp County Regional', 'Ash Flat', '36.26487139', '-91.56264111')
('Claxton-Evans County', 'Claxton', '32.19505556', '-81.86955556')
('Tom B David ', 'Calhoun', '34.45678278', '-84.93949944')
('Monroe-Walton County', 'Monroe', '33.78149889', '-83.69355389')
('Dallas Love ', 'Dallas', '32.84711389', '-96.85177222')
('"W. H. \\Bud\\"" Barron """', 'Dublin', '32.56445806', '-82.98525556')
('Pryor  Regional', 'Decatur', '34.65264667', '-86.94536778')
('J Lynn Helms Sevier County', 'De Queen', '34.04699556', '-94.39936556')
('Dallas-Fort Worth International', 'Dallas-Fort Worth', '32.89595056', '-97.0372')
('Knoxville Downtown Island', 'Knoxville', '35.96383361', '-83.87365389')
('Daniel ', 'Augusta', '33.46663667', '-82.03933917')
('Dalton Municipal', 'Dalton', '34.72174833', '-84.86910806')
('Shreveport Downtown', 'Shreveport', '32.54021889', '-93.7450225')
('Denton Municipal', 'Denton', '33.20072167', '-97.19797722')
('Eaker ', 'Durant', '33.942265', '-96.39451806')
('Halliburton ', 'Duncan', '34.470875', '-97.95986111')
('Dexter Municipal', 'Dexter', '36.77747', '-89.94117333')
('Summerville', 'Summerville', '33.06344444', '-80.27933333')
('Dyersburg Municipal', 'Dyersburg', '35.99850694', '-89.40608333')
('Graham Municipal', 'Graham', '33.11022222', '-98.55527861')
('Shelby County', 'Alabaster', '33.17781083', '-86.78323722')
('Shelby Municipal', 'Shelby', '35.25555556', '-81.60099722')
('County Memorial', 'New Madrid', '36.53531083', '-89.59971722')
('Wayne County', 'Monticello', '36.85527778', '-84.85613889')
('Bessemer Municipal', 'Bessemer', '33.31288444', '-86.92591889')
('South Arkansas Regional At Goodwin ', 'El Dorado', '33.2208625', '-92.81325167')
('Elk City Municipal', 'Elk City', '35.42941083', '-99.39425917')
('Neosho Memorial', 'Neosho', '36.81080556', '-94.39169444')
('Monroe', 'Monroe', '35.01884306', '-80.62023444')
('Eastland Municipal', 'Eastland', '32.41349167', '-98.80975667')
('Davidson County', 'Lexington', '35.78114028', '-80.30378194')
('Eastman-Dodge County', 'Eastman', '32.21425', '-83.12802778')
('Jones ', 'Bonham', '33.61172222', '-96.17938889')
('Quanah Municipal', 'Quanah', '34.27708306', '-99.75926861')
('Vernon - Wilbarger County', 'Vernon', '34.22566806', '-99.28375')
('Eufaula Municipal', 'Eufaula', '35.29593194', '-95.62526417')
('Henryetta Municipal', 'Henryetta', '35.40687972', '-96.01583278')
('Rusk County', 'Henderson', '32.14172222', '-94.85172222')
('Cleburne Municipal', 'Cleburne', '32.35376389', '-97.43375')
('Perry Municipal', 'Perry', '36.38559583', '-97.27721083')
('Minden-Webster', 'Minden', '32.64601', '-93.29808556')
('El Reno Municipal', 'El Reno', '35.47163639', '-98.00599444')
('Clarence E. Page Municipal', 'Oklahoma City', '35.4880825', '-97.82354556')
('Sulphur Municipal', 'Sulphur', '34.52453278', '-96.98973944')
('Lake Texoma State Park', 'Kingston', '33.99287639', '-96.64249722')
('Healdton Municipal', 'Healdton', '34.24925806', '-97.47391306')
('Cordell Municipal', 'Cordell', '35.30421917', '-98.96702167')
('Grayson County', 'Sherman/Denison', '33.71411111', '-96.67366667')
('Ennis Municipal', 'Ennis', '32.32969444', '-96.66388889')
('Athens Jones Municipal', 'Athens', '32.16384778', '-95.82835306')
('Rockwall Municipal', 'Rockwall', '32.93059444', '-96.43548556')
('Winnsboro Municipal', 'Winnsboro', '32.93884556', '-95.27886083')
('Franklin County', 'Mount Vernon', '33.21530583', '-95.2374925')
('Granbury Municipal', 'Granbury', '32.44441583', '-97.8169475')
('Arledge ', 'Stamford', '32.91019472', '-99.73422972')
('Atoka Municipal', 'Atoka', '34.39833889', '-96.14805972')
('Okemah Flying ', 'Okemah', '35.42925306', '-96.28778361')
('Stigler Municipal', 'Stigler', '35.28910556', '-95.09389722')
('Farmerville', 'Farmerville', '32.72495583', '-92.33716583')
('Jonesboro', 'Jonesboro', '32.20199028', '-92.73293028')
('Winnsboro Municipal', 'Winnsboro', '32.15431917', '-91.70012472')
('Thomas P Stafford', 'Weatherford', '35.54482944', '-98.66849028')
('Holdenville Municipal', 'Holdenville', '35.085875', '-96.41666667')
('Forrest City Municipal', 'Forrest City', '34.94199806', '-90.77496611')
('Frederick Municipal', 'Frederick', '34.35219472', '-98.98460222')
('Fairfield County', 'Winnsboro', '34.31547222', '-81.10880556')
('Peachtree City - Falcon ', 'Atlanta', '33.35725', '-84.57183333')
('Marion County Regional', 'Flippin', '36.29087528', '-92.59023417')
('Rutherford County-Marchman ', 'Rutherfordton', '35.42822222', '-81.93507778')
('Fort Smith Regional', 'Fort Smith', '35.33659028', '-94.36744111')
('Fort Worth Meacham International', 'Fort Worth', '32.81977778', '-97.36244444')
('Fulton County - Brown ', 'Atlanta', '33.77913889', '-84.52136111')
('Spinks', 'Fort Worth', '32.56522778', '-97.30807778')
('Fayette County', 'Somerville', '35.20592', '-89.39441667')
('Fayetteville Municipal', 'Fayetteville', '35.05836278', '-86.56441139')
('Fayetteville Municipal', 'Fayetteville', '36.00509472', '-94.17005694')
('Gadsden Municipal', 'Gadsden', '33.97262528', '-86.08900139')
('Gage', 'Gage', '36.29553889', '-99.77642361')
('Claremore Regional', 'Claremore', '36.29441667', '-95.47966667')
('Greeneville Municipal', 'Greeneville', '36.19299083', '-82.81507028')
('Gregg County', 'Longview', '32.38486111', '-94.71171')
('Centerville Municipal', 'Centerville', '35.83742722', '-87.445375')
('Gatlinburg-Pigeon Forge', 'Sevierville', '35.85775889', '-83.52870472')
('Arlington Municipal', 'Arlington', '32.66241528', '-97.09391139')
('Gainesville Municipal', 'Gainesville', '33.65136111', '-97.19702778')
('Mid Delta Regional', 'Greenville', '33.48288111', '-90.98561389')
('Grove Municipal', 'Grove', '36.60527056', '-94.73856667')
('Greenville Downtown', 'Greenville', '34.84794444', '-82.35')
('Grenada Municipal', 'Grenada', '33.83253', '-89.79822806')
('Guthrie Municipal', 'Guthrie', '35.84980556', '-97.41560833')
('Grand Prairie Municipal', 'Grand Prairie', '32.69858333', '-97.04652778')
('Greenwood County', 'Greenwood', '34.24872222', '-82.15908333')
('Greenville-Spartanburg', 'Greer', '34.89566722', '-82.21885833')
('Golden Triangle Regional', 'Columbus-Starkville-West Point', '33.45033444', '-88.59136861')
('Lee Gilmer Memorial', 'Gainesville', '34.27290389', '-83.82681333')
('Majors', 'Greenville', '33.06783889', '-96.0653325')
('Greenwood-Leflore', 'Greenwood', '33.49432667', '-90.084705')
('Donaldson Center', 'Greenville', '34.75831917', '-82.376415')
('Abernathy ', 'Pulaski', '35.15371972', '-87.05681444')
('Vinita Municipal', 'Vinita', '36.63301806', '-95.15136111')
('Wilburton Municipal', 'Wilburton', '34.91954278', '-95.39469722')
('Clarksville Municipal', 'Clarksville', '35.47069417', '-93.427155')
('Seminole Municipal', 'Seminole', '35.27467806', '-96.67516194')
('Nowata Municipal', 'Nowata', '36.72092222', '-95.62525583')
('Mid-America Industrial', 'Pryor', '36.22539389', '-95.33006333')
('Hominy', 'Hominy', '36.43340222', '-96.38362861')
('Pawnee Municipal', 'Pawnee', '36.38338556', '-96.8103125')
('Marion County', 'Hamilton', '34.11757222', '-87.99819583')
('Hobart Municipal', 'Hobart', '34.9913075', '-99.0513525')
('Heber Springs Municipal', 'Heber Springs', '35.51169389', '-92.01300944')
('Hardwick ', 'Cleveland', '35.22007306', '-84.83244333')
('Thompson-Robbins', 'Helena-West Helena', '34.57648972', '-90.67588639')
('Hilton Head', 'NA', '32.224384', '-80.697629')
('Stan Stamper Municipal', 'Hugo', '34.03482556', '-95.54190611')
('Blytheville Municipal', 'Blytheville', '35.94040667', '-89.83080583')
('Hawkins ', 'Jackson', '32.3347725', '-90.22253167')
('Hickory Municipal', 'Hickory', '35.74114639', '-81.38954889')
('Twin County', 'Galax', '36.76611472', '-80.82356556')
('Memorial ', 'Hot Springs', '34.47803389', '-93.09620833')
('Thomson-McDuffie County', 'Thomson', '33.52972639', '-82.51678556')
('Mesquite Metro', 'Mesquite', '32.74696278', '-96.53041722')
('Boone County', 'Harrison', '36.26152056', '-93.15472889')
('Huntsville International ', 'Huntsville', '34.6404475', '-86.77310944')
('Hopkinsville-Christian County', 'Hopkinsville', '36.85658333', '-87.45725')
('Hartsville Municipal', 'Hartsville', '34.40308333', '-80.11922222')
('Hilton Head', 'Hilton Head Island', '32.22436111', '-80.69747222')
('Carroll County', 'Huntingdon', '36.08930722', '-88.46329778')
('Tucker-Guthrie Memorial', 'Harlan', '36.85981028', '-83.36101639')
('Indianola Municipal', 'Indianola', '33.48574611', '-90.67887611')
('Washington-Wilkes County', 'Washington', '33.77987528', '-82.81661639')
('Smith Reynolds', 'Winston-Salem', '36.13372222', '-80.222')
('Lincoln County', 'Lincolnton', '35.48332889', '-81.16125833')
('Jackson International', 'Jackson', '32.31116667', '-90.07588889')
('Campbell County', 'Jacksboro', '36.33457556', '-84.16234472')
('Jonesboro Municipal', 'Jonesboro', '35.83186111', '-90.64616667')
('Walker County', 'Jasper', '33.90199528', '-87.31416639')
('Concord Regional', 'Concord', '35.38520694', '-80.70971389')
('Watonga', 'Watonga', '35.86469444', '-98.42075')
('John C. Tune', 'Nashville', '36.18236194', '-86.88672278')
('Plantation Airpark', 'Sylvania', '32.64544861', '-81.59649722')
('Charleston Executive', 'Charleston', '32.70086111', '-80.00291667')
('Pickens County', 'Jasper', '34.45147972', '-84.45659278')
('Lawton-Ft Sill Regional', 'Lawton', '34.56771444', '-98.41663667')
('LaGrange-Callaway', 'Lagrange', '33.00884694', '-85.07260556')
('Adams ', 'Little Rock', '34.72939611', '-92.22424556')
('Lancaster County', 'Lancaster', '34.72291667', '-80.85458333')
('Monticello Municipal', 'Monticello', '33.6385525', '-91.75101833')
('Louisville-Winston County', 'Louisville', '33.14620944', '-89.06247917')
('Lancaster', 'Lancaster', '32.57919111', '-96.71905111')
('Lonesome Pine', 'Wise', '36.98743194', '-82.53017361')
('Pickens County', 'Pickens', '34.80997222', '-82.70288889')
('Ellington ', 'Lewisburg', '35.506975', '-86.80388611')
('Gwinnett County ', 'Lawrenceville', '33.97807611', '-83.96237722')
('General Dewitt Spain', 'Memphis', '35.20069278', '-90.05397694')
('Dickson Municipal', 'Dickson', '36.12931722', '-87.43007056')
('Dennis F Cantrell ', 'Conway', '35.08080778', '-92.42496167')
('Covington Municipal', 'Covington', '35.583365', '-89.58722167')
('Caruthersville Memorial', 'Caruthersville', '36.17506917', '-89.67508')
('William L. Whitehurst ', 'Bolivar', '35.21445944', '-89.04336222')
('Perry County', 'Linden', '35.59590306', '-87.87669361')
('John Bell Williams', 'Raymond', '32.30334111', '-90.40848333')
('Hope Municipal', 'Hope', '33.72008889', '-93.65884556')
('Newport Municipal', 'Newport', '35.63771778', '-91.17637556')
('Russellville Municipal', 'Russellville', '34.44953972', '-87.71030833')
('James H. Easom ', 'Newton', '32.31181111', '-89.13589194')
('Mayfield-Graves County', 'Mayfield', '36.76911111', '-88.58472222')
('Waldron Municipal', 'Waldron', '34.87509944', '-94.10993056')
('Hassel ', 'Clifton', '35.38507528', '-87.96752833')
('Lake Village Municipal', 'Lake Village', '33.3459775', '-91.31569833')
('Sumner County Regional', 'Gallatin', '36.37684472', '-86.40875861')
('Frank Federer Memorial', 'Brinkley', '34.88000194', '-91.1764375')
('Ruleville-Drew', 'Drew', '33.77639167', '-90.52500833')
('Mena Intermountain Municipal', 'Mena', '34.54539444', '-94.20265278')
('Monroe County', 'Aberdeen-Amory', '33.87374861', '-88.48967833')
('Holly Springs-Marshall County', 'Holly Springs', '34.80434611', '-89.5211075')
('Houston Municipal', 'Houston', '33.89177944', '-89.02367194')
('Franklin-Wilkins', 'Lexington', '35.65131944', '-88.37893444')
('Humboldt Municipal', 'Humboldt', '35.80218', '-88.87494944')
('Lebanon Municipal', 'Lebanon', '36.19041667', '-86.31569444')
('Monett Municipal', 'Monett', '36.90621528', '-94.01275833')
